Country,Year,GDP,Urban_population,Industry,Business,Mining,Manufacturing,Electricity_supply,Water_supply,Construction,Retail trade,Transportation,Accommodation,Information,Financial,Real estate,Professional_scientific,Administrative,Public_administration,Education,Human_health,Arts,Other,UrbanizationCategory,kmeans_cluster,hierarchy_cluster
Austria,2010,35390,57.4,24.0,25.2,18.3,24.4,23.6,12.2,9.9,27.5,7.3,9.9,21.2,30.3,27.0,34.0,22.5,9.401162790697674,27.8,12.0,34.0,32.0,0,2,0
Austria,2011,36300,57.12,23.5,24.7,9.52937293729373,19.256603773584903,11.511960132890366,2.2112179487179486,-0.6875000000000002,20.663091482649843,4.344654088050314,10.887301587301588,19.22095238095238,27.93836477987421,13.261736334405144,19.126100628930818,8.116190476190477,9.401162790697674,11.268888888888888,18.499056603773585,17.4951768488746,17.11150159744409,0,2,0
Austria,2012,36390,57.15,22.9,24.3,9.52937293729373,19.256603773584903,11.511960132890366,2.2112179487179486,-0.6875000000000002,20.663091482649843,4.344654088050314,10.887301587301588,19.22095238095238,27.93836477987421,13.261736334405144,19.126100628930818,8.116190476190477,9.401162790697674,11.268888888888888,18.499056603773585,17.4951768488746,17.11150159744409,0,2,0
Austria,2013,36180,57.34,22.3,23.8,9.52937293729373,19.256603773584903,11.511960132890366,2.2112179487179486,-0.6875000000000002,20.663091482649843,4.344654088050314,10.887301587301588,19.22095238095238,27.93836477987421,13.261736334405144,19.126100628930818,8.116190476190477,9.401162790697674,11.268888888888888,18.499056603773585,17.4951768488746,17.11150159744409,0,2,0
Austria,2014,36130,57.53,22.2,23.8,15.9,23.0,19.8,10.0,8.2,23.4,10.6,7.4,22.9,30.4,27.8,31.5,19.5,9.401162790697674,24.3,12.8,26.6,28.8,0,2,0
Austria,2015,36140,57.72,21.8,23.4,13.7,22.7,17.6,9.3,8.2,23.3,11.6,6.4,22.4,30.3,28.0,31.3,20.0,9.401162790697674,24.2,12.9,26.2,28.3,0,2,0
Austria,2016,36390,57.91,20.8,22.3,14.4,21.9,13.2,8.2,8.3,23.3,14.5,5.9,20.9,27.1,28.7,30.4,17.8,9.401162790697674,24.3,14.5,20.8,27.8,0,2,0
Austria,2017,36980,58.09,20.7,22.3,10.9,21.7,13.0,8.4,8.3,23.2,12.4,5.7,20.6,28.4,29.0,29.4,17.4,9.401162790697674,23.7,15.0,19.1,26.9,0,2,0
Austria,2018,37690,58.3,20.4,22.0,7.9,21.4,14.4,8.1,8.3,23.2,11.7,5.4,20.7,28.2,29.2,28.3,17.1,9.401162790697674,23.6,15.3,18.3,26.4,0,2,0
Austria,2019,38090,58.52,19.9,21.6,8.0,20.9,13.6,8.3,8.2,22.7,11.9,4.9,20.3,28.0,28.4,27.5,16.8,9.401162790697674,23.4,14.9,17.4,25.7,0,2,0
Austria,2020,35480,58.75,18.9,20.7,6.1,20.1,12.9,7.7,8.0,21.8,12.1,5.0,20.1,27.2,27.7,26.2,17.1,9.401162790697674,23.1,14.5,17.3,24.8,0,2,0
Austria,2021,36950,59.0,18.8,20.7,6.9,20.2,12.5,7.2,7.8,21.9,10.9,4.5,19.7,27.2,27.0,25.8,16.9,9.401162790697674,22.6,13.6,15.8,24.5,0,2,0
Belgium,2010,33330,97.65,10.2,15.1,-13.4,11.5,29.6,-0.5,-1.6,17.1,4.1,8.7,15.2,22.1,17.8,19.4,17.6,9.401162790697674,3.4,9.3,8.9,20.2,2,2,0
Belgium,2011,33460,97.7,9.4,14.1,-10.4,10.1,27.7,-1.0,-2.8,15.6,4.5,7.9,14.4,21.6,14.2,18.3,15.4,9.401162790697674,3.3,6.8,6.9,20.7,2,2,0
Belgium,2012,33490,97.74,8.3,13.0,-7.1,8.9,26.0,-1.2,-4.0,14.6,4.9,7.0,13.5,21.2,10.8,17.3,13.4,9.401162790697674,3.3,4.5,5.1,21.3,2,2,0
Belgium,2013,33490,97.79,7.5,12.1,-4.1,7.6,24.2,-1.6,-5.3,13.3,5.3,6.2,12.7,20.8,7.2,16.3,11.3,9.401162790697674,3.1,1.9,3.4,21.8,2,2,0
